id,current_pos,corrected_direction,prev_target_pos,target_pos,speed_vector
79,[0.00380001 0.01363865],[0.01445291 0.01382917],"[0.013829168064091327, -0.01445290751777491]","[0.003, 0.003]",[-0.00075263  0.00693862],0.020544052124023438
80,[0.00380001 0.01363865],[0.01445333 0.01382875],"[0.013828747244947632, -0.014453325102727267]","[0.003, 0.003]",[-0.00075263  0.00693862],0.019134998321533203
81,[0.00414816 0.0139868 ],[0.01445414 0.01382793],"[0.013827929586461897, -0.014454136477126284]","[0.007, 0.007]",[-0.00075263  0.00693862],0.02488851547241211
82,[0.00414816 0.0139868 ],[0.01445484 0.01382722],"[0.013827219152435724, -0.014454841451135708]","[0.007, 0.007]",[-0.00075263  0.00693862],0.03226447105407715
83,[0.00465291 0.01449155],[0.0144561  0.01382595],"[0.013825950903790263, -0.014456099952698974]","[0.01, 0.01]",[-0.00075263  0.00693862],0.03977370262145996
84,[0.00536235 0.01520098],[0.01445743 0.01382462],"[0.01382461512070339, -0.01445742546966998]","[0.014, 0.014]",[-0.00075263  0.00693862],0.035559892654418945
85,[0.00536235 0.01520098],[0.01445815 0.01382388],"[0.013823882372311863, -0.014458152586548454]","[0.014, 0.014]",[-0.00075263  0.00693862],0.03313636779785156
86,[0.00600419 0.01584283],[0.0144595  0.01382253],"[0.013822528867420058, -0.014459495689124057]","[0.013, 0.013]",[-0.00075263  0.00693862],0.038641929626464844
87,[0.00670799 0.01654662],[0.01446078 0.01382123],"[0.013821234400440674, -0.014460780207521125]","[0.014, 0.014]",[-0.00075263  0.00693862],0.03373003005981445
88,[0.00715544 0.01699408],[0.01446187 0.01382014],"[0.013820139569042246, -0.014461866624629761]","[0.009, 0.009]",[-0.00075263  0.00693862],0.033627986907958984
89,[0.00715544 0.01699408],[0.0144627 0.0138193],"[0.013819303667957965, -0.01446269610142445]","[0.009, 0.009]",[-0.00075263  0.00693862],0.03756523132324219
90,[0.00795239 0.01779102],[0.01446402 0.01381797],"[0.013817973157264149, -0.014464016386523197]","[0.016, 0.016]",[-0.00075263  0.00693862],0.0319666862487793
91,[0.00845294 0.01829158],[0.01446516 0.01381682],"[0.013816820011115973, -0.014465160670205538]","[0.01, 0.01]",[-0.00075263  0.00693862],0.03424572944641113
92,[0.00845294 0.01829158],[0.01446604 0.01381593],"[0.01381593247853277, -0.014466041381687004]","[0.01, 0.01]",[-0.00075263  0.00693862],0.03970623016357422
93,[0.00910363 0.01894226],[0.01446728 0.01381468],"[0.013814681592682704, -0.014467282653896053]","[0.013, 0.013]",[-0.00075263  0.00693862],0.03334164619445801
94,[0.00945388 0.01929251],[0.0144683  0.01381366],"[0.013813659220895752, -0.014468297168279114]","[0.007, 0.007]",[-0.00075263  0.00693862],0.03348684310913086
95,[0.00945388 0.01929251],[0.0144691  0.01381285],"[0.013812850751389244, -0.014469099424320493]","[0.007, 0.007]",[-0.00075263  0.00693862],0.03604412078857422
96,[0.00965187 0.01949051],[0.01447    0.01381195],"[0.013811948230563434, -0.014469995008852933]","[0.004, 0.004]",[-0.00075263  0.00693862],0.033377885818481445
97,[0.01025423 0.02009286],[0.0144712  0.01381073],"[0.013810732816855612, -0.014471201081539691]","[0.012, 0.012]",[-0.00075263  0.00693862],0.03329658508300781
98,[0.01025423 0.02009286],[0.01447201 0.01380992],"[0.01380991839157252, -0.014472009247584735]","[0.012, 0.012]",[-0.00075263  0.00693862],0.0362095832824707
99,[0.01085873 0.02069737],[0.01447316 0.01380876],"[0.013808762818332848, -0.014473155939705244]","[0.012, 0.012]",[-0.00075263  0.00693862],0.030498504638671875
100,[0.0115497  0.02138834],[0.01447438 0.01380753],"[0.013807525997646862, -0.014474383254847557]","[0.014, 0.014]",[-0.00075263  0.00693862],0.031058311462402344
101,[0.0115497  0.02138834],[0.01447505 0.01380686],"[0.013806856793317222, -0.01447504731602989]","[0.014, 0.014]",[-0.00075263  0.00693862],0.029620885848999023
102,[0.0123966  0.02223523],[0.01447651 0.01380539],"[0.013805386375590986, -0.014476506432910277]","[0.017, 0.017]",[-0.00075263  0.00693862],0.03594851493835449
103,[0.01325426 0.0230929 ],[0.01447787 0.01380401],"[0.013804014618718436, -0.014477867647191644]","[0.017, 0.017]",[-0.00075263  0.00693862],0.031134843826293945
104,[0.01325426 0.0230929 ],[0.01447854 0.01380334],"[0.013803337505610839, -0.014478539556369286]","[0.017, 0.017]",[-0.00075263  0.00693862],0.029796838760375977
105,[0.01389751 0.02373615],[0.01447974 0.01380212],"[0.013802123210517195, -0.014479744519038938]","[0.013, 0.013]",[-0.00075263  0.00693862],0.03144407272338867
106,[0.01430142 0.02414006],[0.01448088 0.01380098],"[0.013800975688841203, -0.014480883221475789]","[0.008, 0.008]",[-0.00075263  0.00693862],0.03660106658935547
107,[0.01430142 0.02414006],[0.01448156 0.0138003 ],"[0.013800297143344232, -0.014481556552034223]","[0.008, 0.008]",[-0.00075263  0.00693862],0.029753684997558594
108,[0.01484527 0.02468391],[0.01448269 0.01379916],"[0.01379915946768142, -0.014482685484129097]","[0.011, 0.011]",[-0.00075263  0.00693862],0.031358957290649414
109,[0.01529709 0.02513573],[0.01448374 0.0137981 ],"[0.01379809942396094, -0.01448373738091931]","[0.009, 0.009]",[-0.00075263  0.00693862],0.03103327751159668
110,[0.01529709 0.02513573],[0.01448457 0.01379726],"[0.01379726268421545, -0.014484567689929706]","[0.009, 0.009]",[-0.00075263  0.00693862],0.036566734313964844
111,[0.01594552 0.02578416],[0.01448578 0.01379605],"[0.013796045423232827, -0.014485775595694096]","[0.013, 0.013]",[-0.00075263  0.00693862],0.03118109703063965
112,[0.01669502 0.02653365],[0.01448708 0.01379473],"[0.013794728444863505, -0.014487082452470573]","[0.015, 0.015]",[-0.00075263  0.00693862],0.032035112380981445
113,[0.01669502 0.02653365],[0.01448775 0.01379405],"[0.013794053088201978, -0.014487752618701253]","[0.015, 0.015]",[-0.00075263  0.00693862],0.029375076293945312
114,[0.01749921 0.02733784],[0.01448925 0.01379255],"[0.013792548186338672, -0.014489245954692039]","[0.016, 0.016]",[-0.00075263  0.00693862],0.03826284408569336
115,[0.01839175 0.02823039],[0.01449073 0.01379105],"[0.01379105325090397, -0.01449072940085087]","[0.018, 0.018]",[-0.00075263  0.00693862],0.03475785255432129
116,[0.01839175 0.02823039],[0.01449145 0.01379033],"[0.013790331095187285, -0.01449144600646415]","[0.018, 0.018]",[-0.00075263  0.00693862],0.031232118606567383
117,[0.01909054 0.02892918],[0.01449283 0.01378894],"[0.013788939440461462, -0.014492826965674508]","[0.014, 0.014]",[-0.00075263  0.00693862],0.036695241928100586
118,[0.01979487 0.02963351],[0.01449413 0.01378763],"[0.013787626522301463, -0.014494129793446263]","[0.014, 0.014]",[-0.00075263  0.00693862],0.0330350399017334
119,[0.01979487 0.02963351],[0.01449483 0.01378692],"[0.013786915971385635, -0.01449483488344699]","[0.014, 0.014]",[-0.00075263  0.00693862],0.03058648109436035
120,[0.02044263 0.03028127],[0.0144961  0.01378564],"[0.013785641307186442, -0.014496099751257466]","[0.013, 0.013]",[-0.00075263  0.00693862],0.033202409744262695
121,[0.02109116 0.0309298 ],[0.01449739 0.01378434],"[0.013784339406013152, -0.014497391646713194]","[0.013, 0.013]",[-0.00075263  0.00693862],0.03427290916442871
122,[0.02109116 0.0309298 ],[0.01449788 0.01378385],"[0.013783848895087847, -0.014497878387833323]","[0.013, 0.013]",[-0.00075263  0.00693862],0.02102375030517578
123,[0.02178356 0.0316222 ],[0.01449887 0.01378284],"[0.013782844834848533, -0.014498874731401528]","[0.014, 0.014]",[-0.00075263  0.00693862],0.020004987716674805
124,[0.02178356 0.0316222 ],[0.01449933 0.01378239],"[0.013782387379279499, -0.014499328671211214]","[0.014, 0.014]",[-0.00075263  0.00693862],0.0195620059967041
125,[0.02178356 0.0316222 ],[0.01449984 0.01378187],"[0.013781868432681067, -0.014499843629463063]","[0.014, 0.014]",[-0.00075263  0.00693862],0.022191524505615234
126,[0.02238058 0.03221921],[0.01450077 0.01378094],"[0.013780939089181078, -0.014500765830524925]","[0.012, 0.012]",[-0.00075263  0.00693862],0.01992940902709961
127,[0.02238058 0.03221921],[0.01450123 0.01378047],"[0.01378047262322074, -0.014501228711476853]","[0.012, 0.012]",[-0.00075263  0.00693862],0.01990795135498047
128,[0.02328326 0.0331219 ],[0.01450241 0.01377929],"[0.01377928571649172, -0.014502406496274234]","[0.018, 0.018]",[-0.00075263  0.00693862],0.02075648307800293
129,[0.02328326 0.0331219 ],[0.01450287 0.01377882],"[0.013778816345917958, -0.014502872259516282]","[0.018, 0.018]",[-0.00075263  0.00693862],0.01997232437133789
130,[0.02328326 0.0331219 ],[0.01450341 0.01377828],"[0.01377827864009867, -0.014503405832815628]","[0.018, 0.018]",[-0.00075263  0.00693862],0.022880077362060547
131,[0.02392925 0.03376789],[0.01450437 0.0137773 ],"[0.013777304006913897, -0.014504372975489926]","[0.013, 0.013]",[-0.00075263  0.00693862],0.020140409469604492
132,[0.02392925 0.03376789],[0.01450484 0.01377684],"[0.01377683630424724, -0.014504837083643514]","[0.013, 0.013]",[-0.00075263  0.00693862],0.01985907554626465
133,[0.02468433 0.03452297],[0.0145059  0.01377576],"[0.013775760249370427, -0.014505904868536857]","[0.015, 0.015]",[-0.00075263  0.00693862],0.020807743072509766
134,[0.02468433 0.03452297],[0.01450637 0.01377529],"[0.013775294329303203, -0.014506367207791117]","[0.015, 0.015]",[-0.00075263  0.00693862],0.01973438262939453
135,[0.0252877  0.03512633],[0.01450767 0.01377398],"[0.013773979605036684, -0.014507671827788622]","[0.012, 0.012]",[-0.00075263  0.00693862],0.03582286834716797
136,[0.0252877  0.03512633],[0.01450837 0.01377327],"[0.013773271524512761, -0.014508374466383558]","[0.012, 0.012]",[-0.00075263  0.00693862],0.029932022094726562
137,[0.02603642 0.03587505],[0.01450969 0.01377195],"[0.013771950642413187, -0.0145096851968883]","[0.015, 0.015]",[-0.00075263  0.00693862],0.031247615814208984
138,[0.02603642 0.03587505],[0.01451037 0.01377126],"[0.01377125818377385, -0.014510372333660116]","[0.015, 0.015]",[-0.00075263  0.00693862],0.029200077056884766
139,[0.02668235 0.03652099],[0.01451168 0.01376994],"[0.013769935876270293, -0.014511684478613947]","[0.013, 0.013]",[-0.00075263  0.00693862],0.0345916748046875
140,[0.02693544 0.03677408],[0.01451262 0.013769  ],"[0.013768996403513444, -0.014512616731084607]","[0.005, 0.005]",[-0.00075263  0.00693862],0.03125905990600586
141,[0.02693544 0.03677408],[0.01451331 0.0137683 ],"[0.013768296462384136, -0.01451331129283997]","[0.005, 0.005]",[-0.00075263  0.00693862],0.029429197311401367
142,[0.0275776  0.03741624],[0.01451454 0.01376705],"[0.013767053982300914, -0.014514544223884412]","[0.013, 0.013]",[-0.00075263  0.00693862],0.031264305114746094
143,[0.02833877 0.03817741],[0.01451598 0.01376561],"[0.013765607375671965, -0.014515979712666898]","[0.015, 0.015]",[-0.00075263  0.00693862],0.0358729362487793
144,[0.02833877 0.03817741],[0.01451667 0.01376491],"[0.013764912849049791, -0.014516668901528139]","[0.015, 0.015]",[-0.00075263  0.00693862],0.029068708419799805
145,[0.0286344  0.03847303],[0.0145176  0.01376397],"[0.013763970610858638, -0.014517603898179448]","[0.006, 0.006]",[-0.00075263  0.00693862],0.029825210571289062
146,[0.0286344  0.03847303],[0.0145183  0.01376327],"[0.013763268297029965, -0.014518300814398874]","[0.006, 0.006]",[-0.00075263  0.00693862],0.029366493225097656
147,[0.02898562 0.03882425],[0.01451942 0.01376214],"[0.013762141797046167, -0.014519418656705037]","[0.007, 0.007]",[-0.00075263  0.00693862],0.03568887710571289
148,[0.02938736 0.039226  ],[0.01452044 0.01376111],"[0.013761111427629884, -0.01452044110725192]","[0.008, 0.008]",[-0.00075263  0.00693862],0.030000686645507812
149,[0.02938736 0.039226  ],[0.01452116 0.01376038],"[0.013760384863895825, -0.014521162087004902]","[0.008, 0.008]",[-0.00075263  0.00693862],0.030306577682495117
150,[0.02973279 0.03957143],[0.01452221 0.01375933],"[0.013759330702628577, -0.01452220814655128]","[0.007, 0.007]",[-0.00075263  0.00693862],0.0327756404876709
151,[0.03048525 0.04032389],[0.01452367 0.01375786],"[0.013757860947608898, -0.01452366660581832]","[0.015, 0.015]",[-0.00075263  0.00693862],0.036867618560791016
152,[0.03048525 0.04032389],[0.01452438 0.01375714],"[0.01375713881067574, -0.014524383192792431]","[0.015, 0.015]",[-0.00075263  0.00693862],0.03001546859741211
153,[0.03133151 0.04117014],[0.01452579 0.01375572],"[0.01375572143185004, -0.014525789678400965]","[0.017, 0.017]",[-0.00075263  0.00693862],0.0315852165222168
154,[0.03223744 0.04207608],[0.01452727 0.01375423],"[0.013754228341422313, -0.014527271293732562]","[0.018, 0.018]",[-0.00075263  0.00693862],0.032712697982788086
155,[0.03223744 0.04207608],[0.01452803 0.01375347],"[0.013753468720588765, -0.01452802507652581]","[0.018, 0.018]",[-0.00075263  0.00693862],0.03139638900756836
156,[0.03318203 0.04302067],[0.01452947 0.01375202],"[0.013752016532139894, -0.01452946610422933]","[0.019, 0.019]",[-0.00075263  0.00693862],0.029694795608520508
157,[0.03318203 0.04302067],[0.01453018 0.01375129],"[0.01375129488987818, -0.014530182200333778]","[0.019, 0.019]",[-0.00075263  0.00693862],0.029736757278442383
158,[0.03389218 0.04373081],[0.01453155 0.01374991],"[0.013749912034107114, -0.01453155442821345]","[0.014, 0.014]",[-0.00075263  0.00693862],0.03424239158630371
159,[0.03458318 0.04442182],[0.01453281 0.01374865],"[0.013748647649466698, -0.014532809095468351]","[0.014, 0.014]",[-0.00075263  0.00693862],0.02991509437561035
160,[0.03458318 0.04442182],[0.01453351 0.01374794],"[0.013747937838515552, -0.014533513451191369]","[0.014, 0.014]",[-0.00075263  0.00693862],0.029119014739990234
161,[0.03522944 0.04506808],[0.01453478 0.01374666],"[0.013746657194345426, -0.014534784253013914]","[0.013, 0.013]",[-0.00075263  0.00693862],0.03193831443786621
162,[0.03604082 0.04587945],[0.01453627 0.01374516],"[0.01374516255177692, -0.014536267408557364]","[0.016, 0.016]",[-0.00075263  0.00693862],0.03537297248840332
